id_programa,programa,id_facultad
ARQ,ARQUITECTURA,0
ARM,ARTES MUSICALES,0
APT,ARTES PLASTICAS,0
IAI,INGENIERIA AGROINDUSTRIAL,1
AGR,INGENIERIA AGRONOMICA,1
VAG,INGENIERIA AGROPECUARIA - VILLAZON,1
IDR,INGENIERIA EN DESARROLLO RURAL,1
MVZ,MED. VETERINARIA Y ZOOTECNIA - TUPIZA,1
ENF,ENFERMERIA,10
LEF,ENFERMERIA - LLICA,10
VEF,ENFERMERIA - VILLAZON,10
PEN,PROG. DE AUXILIARES DE ENFERMERIA,10
TMF,TEC. MEDIO ENFERMERIA,10
ADM,ADMINISTRACION DE EMPRESAS,2
COP,AUDITORIA - CONTADURIA PUBLICA,2
CTB,CONTABILIDAD Y FINANZAS,2
CTT,CONTADURIA PUBLICA - TUPIZA,2
ECO,ECONOMIA,2
CEC,ECONOMIA - UNCIA,2
UEC,ECONOMIA - UYUNI,2
ICO,INGENIERIA COMERCIAL,2
LAT,LICENCIATURA EN AUDITORIA - TUPIZA,2
PCO,PROGRAMA DE LICENCIATURA EN AUDITORIA,2
EST,ESTADISTICA,3
FIS,FISICA,3
INF,INGENIERIA INFORMATICA,3
TSR,ING. INFORMATICA - TECNICO SUPERIOR EN REDES Y CIBERSEGURIDAD,3
TSS,ING. INFORMATICA - TECNICO SUPERIOR EN SISTEMAS INFORMATICOS,3
MAT,MATEMATICA,3
CIN,PROGRAMA INGENIERIA INFORMATICA - UNCIA,3
QMC,QUIMICA,3
QUI,QUIMICA - UYUNI,3
COM,CIENCIAS DE LA COMUNICACION,4
EDI,ESCUELA DE IDIOMAS,4
EDT,ESCUELA DE IDIOMAS - TUPIZA,4
EXI,EXTENSION LIBRE - INGLES,4
EXQ,EXTENSION LIBRE - QUECHUA,4
LEI,LINGUISTICA E IDIOMAS,4
ULI,LINGUISTICA E IDIOMAS - UYUNI,4
CLI,PROGRAMA LINGUISTICA E IDIOMAS - UNCIA,4
TCS,TRABAJO SOCIAL,4
CTS,TRABAJO SOCIAL - UNCIA,4
TUR,TURISMO,4
TUU,TURISMO - UYUNI,4
DER,DERECHO,5
DET,DERECHO - TUPIZA,5
CDE,DERECHO - UNCIA,5
LBC,LABORATORIO CLINICO,40
PIC,PROGRAMA DE PEDAGOGIA INTERCULTURAL,40
CCV,CONSTRUCCIONES CIVILES,6
GYT,ING. EN GEODESIA Y TOPOGRAFIA,6
CIV,INGENIERIA CIVIL,6
IMA,INGENIERIA DEL MEDIO AMBIENTE,7
IGO,INGENIERIA GEOLOGICA,7
PMM,ING. DE PROCESOS DE MAT. PRIMAS MIN.,8
IMI,INGENIERIA MINERA,8
ELE,INGENIERIA ELECTRICA,9
IET,INGENIERIA ELECTRONICA,9
IMC,INGENIERIA MECANICA,9
IMT,INGENIERIA MECATRONICA,9
MAU,MECANICA AUTOMOTRIZ,9
LMA,MECANICA AUTOMOTRIZ - LLICA,9
TED,TEC. MEDIO ELECTRICIDAD,9
TEA,TEC. MEDIO ELECTRONICA,9
TMA,TEC. MEDIO MECANICA AUTOMOTRIZ,9
TMG,TEC. MEDIO MECANICA GENERAL,9
MED,MEDICINA,11
LAB,LABORATORIO FISICA,35
SAG,AGRONOMIA - SACACA,32
SEN,ENFERMERIA - SACACA,32
CIF,INFORMATICA - UNCIA,31
UEN,ENFERMERIA - UYUNI,30
SIS,INGENIERIA DE SISTEMAS,23
SIT,INGENIERIA DE SISTEMAS - TUPIZA,23
DPD,INGENIERIA EN DISEÑO Y PROGRAMACION DIGITAL,23
ODO,ODONTOLOGIA,23
VIC,VICERRECTORADO,23
